,Spanish,English
0,de,of
1,que,what
2,no,do not
3,a,to
4,la,the
5,el,the
6,y,Y
7,es,is
8,en,in
9,lo,it
10,un,a
11,por,for
13,me,I
14,una,a
15,los,the
16,se,I know
17,te,tea
18,con,with
19,para,for
20,está,is
21,mi,me
22,pero,but
23,sí,Yes
24,si,Yes
25,bien,good
26,eso,that
27,su,its
28,las,the
29,yo,me
30,del,of
31,como,What
32,aquí,here
33,tu,you
34,al,to the
35,más,plus
36,le,you
37,esto,this
38,todo,everything
39,ya,already
40,estoy,I'm
41,ahora,now
42,muy,very
43,ha,he has
44,esta,is
45,así,So
46,vamos,we go
47,algo,something
48,hay,there are
49,bueno,Okay
50,tengo,I have
51,él,he
52,cuando,when
54,sé,he
55,tú,your
56,nos,us
57,nada,nothing
58,cómo,as
59,este,this
60,o,or
61,he,I
63,tiene,It has
64,puedo,may l
65,ella,she
66,quiero,want
67,hacer,do
68,fue,it was
69,gracias,Thank you
70,vez,time
71,era,it was
72,soy,am
73,sólo,single
75,porque,because
76,son,are
77,tienes,have
78,creo,I think
79,voy,I go
80,sabes,know
81,estaba,was
82,puede,can
83,eres,are
84,ese,that
85,usted,you
86,entonces,then
87,hola,Hello
88,solo,only
89,verdad,true
90,casa,home
91,tan,so
92,quién,who
93,sus,their
94,tiempo,weather
95,dos,two
96,esa,this
97,nunca,never
98,dónde,where
99,va,he
100,oh,oh
101,favor,favor
102,mucho,a lot of
103,mí,my
104,quieres,you want
105,siento,I feel
106,señor,Mister
107,mejor,better
108,hace,make
109,has,you
110,decir,tell
111,también,as well
112,sobre,on
113,dios,God
114,sin,without
115,tenemos,we have
116,están,is it so
117,ti,you
118,puedes,you can
119,ver,watch
120,hombre,men
121,vida,lifetime
122,alguien,somebody
123,cosas,things
124,siempre,forever
125,hasta,until
126,ahí,there
127,ir,to go
128,años,years
129,antes,before
130,estar,be
131,ni,neither
132,poco,little
133,día,day
134,uno,one
135,noche,night
136,hecho,done
137,mis,my
138,estamos,we're
139,otra,other
140,acuerdo,agreement
141,trabajo,job
142,nosotros,We
143,parece,It seems
144,gente,people
145,sea,be
146,padre,dad
147,mira,look
148,mismo,same
149,dijo,He said
150,nadie,no one
151,quiere,wants
152,podría,might
153,hablar,speak
154,vas,you go
155,ellos,they
156,sr.,Mr.
157,tal,such
158,pasa,happens
159,fuera,out of
160,después,then
161,han,they have
162,desde,since
164,mundo,world
165,claro,Clear
166,momento,moment
167,les,them
168,tener,to have
169,estado,condition
170,otro,other
171,había,there was
172,mañana,morning
173,tenía,I had
174,madre,mother
175,vale,okay
176,lugar,place
177,haciendo,doing
178,donde,where
179,seguro,safe
180,sabe,knows
181,podemos,can
182,tus,your
183,espera,wait
184,nuevo,new
185,sido,been
186,cosa,thing
187,hijo,child
188,allí,there
189,menos,less
190,tipo,kind
191,amigo,friend
192,gran,big
193,nuestro,our
194,mujer,woman
195,mamá,mother
196,luego,soon
197,papá,dad
198,días,days
199,dice,He says
200,hoy,today
201,tres,three
202,buena,good
203,necesito,needed
204,oye,Hey
205,quería,wanted
206,será,will be
207,haber,to have
208,parte,part
209,todas,all
210,crees,think
211,buen,good
212,conmigo,with me
213,nombre,Name
214,mierda,shit
215,nuestra,our
216,mal,evil
217,debe,has to
218,realmente,Really
219,estas,these
220,aún,still
221,mío,Own
222,toda,all
223,hacerlo,do it
224,cada,every
225,visto,viewed
226,importa,matters
227,contigo,with you
228,tienen,have
229,hemos,we have
230,razón,reason
231,alguna,some
232,tanto,so much
233,saber,to know
234,hizo,made
235,veces,times
236,serio,I laughed
237,ven,come
238,idea,idea
239,eh,Hey
240,tarde,afternoon
241,problema,trouble
242,hora,time
243,cierto,sure
244,dicho,saying
245,quien,who
246,demasiado,too
247,amor,love
248,entre,Come in
249,ve,go
250,pasado,last
251,familia,family
252,estos,these
253,policía,police
254,debería,should
255,ustedes,your
256,chica,girl
257,esos,those
258,chicos,Boys
259,cuenta,bill
260,haces,you do
261,todavía,yet
262,salir,leave
263,algún,some
264,vaya,Wow
265,unos,some
266,veo,I see
267,hermano,brother
268,pensé,I thought
269,sabía,I knew
270,cabeza,head
271,ah,ah
272,cariño,Dear
273,digo,say
274,van,go
275,hombres,mens
276,buenas,good
277,somos,are
278,cualquier,any
279,forma,form
280,mientras,while
281,lado,side
282,debo,I must
283,sería,would
284,caso,case
285,pueden,may
286,pasó,I pass
287,primera,first
288,genial,great
289,chico,guy
290,supuesto,supposed
291,hice,I did
292,pues,well
294,muchas,many
295,personas,persons
296,señora,Lady
297,volver,return
298,esas,those
299,quizá,maybe
300,contra,against
301,camino,path
302,durante,during
303,hablando,talking
304,manera,way
305,muerto,dead
306,persona,person
307,rápido,Quick
308,cuál,which one
309,ayuda,help
310,historia,history
311,iba,I was going
312,supongo,suppose
313,nueva,new
314,entiendo,I get it
315,dentro,within
316,casi,almost
317,puerta,door
318,ves,you see
319,pasar,happen
320,primero,first
321,significa,it means
322,semana,week
323,hacia,toward
324,quizás,maybe
325,espero,wait
326,juntos,together
327,año,anus
328,niños,children
330,tío,uncle
331,suerte,luck
332,ciudad,city
333,siquiera,at least
334,feliz,happy
335,venir,come
337,gustaría,would like
338,minutos,minutes
339,cuánto,how much
340,os,you
341,hey,hey
342,muerte,death
343,dejar,let
344,realidad,reality
345,deja,let
346,problemas,problems
347,vi,saw
348,da,gives
349,importante,important
350,dijiste,said
351,corazón,heart
352,miedo,afraid
353,jefe,boss
355,haré,I will do
356,justo,just
357,horas,hours
358,poder,can
359,buenos,good
360,esposa,wife
361,manos,hands
362,debes,you should
363,viene,comes
364,venga,come on
365,nuestros,our
366,ojos,eyes
367,adelante,ahead
368,encontrar,find
369,mano,hand
370,cinco,five
371,niño,little boy
372,ninguna,none
373,otros,others
374,cara,expensive
375,cuidado,careful
376,bajo,low
377,cerca,close
378,viejo,old
379,déjame,let me
380,noches,nights
381,bastante,Quite
382,fin,finish
383,tomar,have
384,único,unique
385,misma,same
386,escucha,listens
387,ningún,any
388,suficiente,enough
389,punto,point
390,cuándo,when
391,sigue,follow
392,haya,is
393,equipo,team
394,grande,big
395,necesita,needs
396,llegar,arrive
397,incluso,even
398,algunos,Some
400,difícil,hard
401,aunque,though
402,hubiera,had
403,primer,first
404,coche,car
405,hago,I make
406,clase,class
407,cuatro,four
408,mas,more
409,dices,say
410,pequeño,little
411,llama,call
412,toma,taking
413,hiciste,did
414,allá,there
415,última,last
416,arriba,above
417,tierra,land
418,guerra,war
419,pensar,think
420,pueda,can
421,igual,Likewise
422,loco,crazy
423,sangre,blood
424,mujeres,women
425,vuelta,return
426,fui,I was
427,trabajar,to work
428,tenido,Dyed
429,juego,game
430,deberías,you should
431,cuerpo,body
432,e,and
433,algunas,some
434,entrar,get in
435,cree,cree
436,podía,I could
437,debemos,must
438,oportunidad,chance
439,teléfono,phone
440,necesitamos,need
441,final,final
442,listo,clever
443,fiesta,party
444,muchos,Many
445,estabas,you were
446,quieren,they want
447,vete,go away
448,auto,car
449,dar,give
450,vivir,to live
451,,
452,ok,okay
453,hermana,sister
454,número,number
455,meses,months
456,exactamente,exactly
457,culpa,fault
458,abajo,down
459,escuela,school
460,ido,gone
461,fuerte,strong
462,diciendo,saying
463,habla,speaks
464,esté,this
465,ello,it
466,pregunta,question
467,chicas,girls
468,eran,they were
469,unas,nail
470,pasando,going
471,atrás,behind
472,malo,bad
473,capitán,captain
474,sra.,Mr / Ms.
475,bebé,baby
476,segundo,second
477,sabemos,we know
478,mayor,higher
479,comida,food
480,morir,To die
481,conozco,know
482,dame,give to me
483,fácil,easy
484,comer,eat
485,vino,wine
487,haga,make
488,necesitas,you need
489,hijos,sons
490,probablemente,probably
491,padres,parents
492,habitación,bedroom
493,creer,believe
494,pensando,thinking
495,fueron,were
496,dime,tell me
497,trata,about
498,buscando,searching
499,tuve,I had
500,tampoco,neither
501,amo,love
502,joven,young
503,podrías,could you
504,sola,alone
505,par,pair
507,hacen,do
508,seguir,"follow, continue"
509,dr.,dr.
510,,
511,dicen,say
512,medio,"means, medium"
513,puta,bitch
514,saben,they know
515,sentido,sense
516,hagas,you do
517,segura,safe
518,esperar,wait
519,lejos,far
520,alto,high or tall
521,pequeña,small
522,dólares,Dollars
523,seis,six
